# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-06-18 19:21:09.786924
TIME	RESP	PULSOX	ECG
3.295	-0.005	0.069	-0.014
3.300	-0.004	0.069	-0.014
3.305	-0.005	0.069	-0.014
3.310	-0.005	0.069	-0.015
3.315	-0.004	0.069	-0.014
3.320	-0.004	0.069	-0.014
3.325	-0.004	0.069	-0.014
3.330	-0.004	0.069	-0.014
3.335	-0.005	0.069	-0.014
3.340	-0.004	0.069	-0.014
3.345	-0.004	0.069	-0.014
3.350	-0.004	0.069	-0.014
3.355	-0.004	0.069	-0.014
3.360	-0.004	0.069	-0.014
3.365	-0.004	0.069	-0.014
3.370	-0.004	0.069	-0.014
3.375	-0.004	0.069	-0.014
3.380	-0.004	0.069	-0.014
3.385	-0.004	0.069	-0.014
3.390	-0.004	0.069	-0.014
3.395	-0.004	0.069	-0.014
3.400	-0.004	0.069	-0.014
3.405	-0.004	0.069	-0.014
3.410	-0.004	0.069	-0.014
3.415	-0.004	0.070	-0.014
3.420	-0.004	0.069	-0.014
3.425	-0.004	0.069	-0.014
3.430	-0.004	0.069	-0.014
3.435	-0.004	0.069	-0.014
3.440	-0.004	0.069	-0.014
3.445	-0.004	0.069	-0.014
3.450	-0.004	0.070	-0.014
3.455	-0.004	0.069	-0.014
3.460	-0.004	0.069	-0.014
3.465	-0.004	0.070	-0.014
3.470	-0.004	0.069	-0.014
3.475	-0.004	0.070	-0.014
3.480	-0.004	0.069	-0.013
3.485	-0.004	0.069	-0.013
3.490	-0.004	0.069	-0.014
3.495	-0.004	0.069	-0.014
3.500	-0.004	0.069	-0.013
3.505	-0.003	0.070	-0.013
3.510	-0.004	0.070	-0.013
3.515	-0.004	0.069	-0.013
3.520	-0.003	0.070	-0.013
3.525	-0.004	0.069	-0.013
3.530	-0.004	0.070	-0.013
3.535	-0.004	0.070	-0.014
3.540	-0.004	0.070	-0.013
3.545	-0.004	0.069	-0.013
3.550	-0.003	0.070	-0.013
3.555	-0.004	0.070	-0.014
3.560	-0.004	0.070	-0.013
3.565	-0.004	0.070	-0.013
3.570	-0.004	0.070	-0.013
3.575	-0.003	0.070	-0.013
3.580	-0.004	0.070	-0.013
3.585	-0.003	0.070	-0.013
3.590	-0.004	0.070	-0.013
3.595	-0.003	0.070	-0.013
3.600	-0.003	0.070	-0.013
3.605	-0.003	0.070	-0.013
3.610	-0.003	0.070	-0.013
3.615	-0.003	0.070	-0.013
3.620	-0.003	0.070	-0.013
3.625	-0.003	0.070	-0.013
3.630	-0.003	0.070	-0.013
3.635	-0.004	0.070	-0.013
3.640	-0.003	0.070	-0.013
3.645	-0.003	0.070	-0.013
3.650	-0.003	0.071	-0.013
3.655	-0.003	0.070	-0.013
3.660	-0.003	0.070	-0.013
3.665	-0.003	0.070	-0.013
3.670	-0.003	0.071	-0.013
3.675	-0.003	0.071	-0.013
